0	0.368
0.01	0.198
0.02	0.024
0.03	0.111
0.04	-0.220
0.05	0.536
0.06	0.019
0.07	0.568
0.08	0.084
0.09	0.276
0.1	-0.457
0.11	-0.222
0.12	0.394
0.13	-0.202
0.14	0.183
0.15	-0.114
0.16	-0.043
0.17	-0.427
0.18	-0.402
0.19	0.311
0.2	-0.014
0.21	-0.253
0.22	-0.242
0.23	0.273
0.24	-0.018
0.25	0.162
0.26	0.125
0.27	0.239
0.28	0.127
0.29	-0.424
0.3	0.119
0.31	0.356
0.32	0.230
0.33	-0.752
0.34	-0.087
0.35	-0.102
0.36	0.101
0.37	-0.162
0.38	-0.001
0.39	0.508
0.4	0.268
0.41	0.085
0.42	-0.292
0.43	-0.022
0.44	0.047
0.45	-0.176
0.46	-0.106
0.47	0.131
0.48	0.493
0.49	-0.773
0.5	-0.347
0.51	0.355
0.52	0.184
0.53	-0.086
0.54	0.131
0.55	-0.309
0.56	-0.323
0.57	0.100
0.58	0.479
0.59	0.237
0.6	-0.161
0.61	0.280
0.62	-0.079
0.63	-0.230
0.64	-0.141
0.65	-0.194
0.66	-0.066
0.67	0.178
0.68	-0.336
0.69	0.111
0.7	0.358
0.71	0.047
0.72	0.222
0.73	-0.017
0.74	0.638
0.75	0.292
0.76	-0.574
0.77	0.011
0.78	-0.572
0.79	0.325
0.8	0.125
0.81	0.202
0.82	0.276
0.83	0.554
0.84	-0.101
0.85	-0.044
0.86	0.195
0.87	0.309
0.88	-0.353
0.89	-0.174
0.9	0.013
0.91	-0.785
0.92	0.366
0.93	-0.325
0.94	0.365
0.95	-0.249
0.96	0.201
0.97	0.259
0.98	-0.056
0.99	0.178
1	-0.040
1.01	0.167
1.02	-0.365
1.03	-0.259
1.04	0.407
1.05	-0.243
1.06	0.019
1.07	-0.568
1.08	-0.202
1.09	-0.328
1.1	-0.177
1.11	0.206
1.12	0.198
1.13	0.250
1.14	-0.079
1.15	0.020
1.16	-0.480
1.17	-0.297
1.18	0.239
1.19	0.113
1.2	-0.041
1.21	-0.582
1.22	-0.093
1.23	-0.081
1.24	-0.340
1.25	-0.127
1.26	0.584
1.27	-0.380
1.28	-0.752
1.29	-1.090
1.3	-0.498
1.31	-0.479
1.32	-0.643
1.33	0.363
1.34	0.019
1.35	-0.082
1.36	-0.168
1.37	-1.220
1.38	0.218
1.39	-0.313
1.4	-0.614
1.41	-0.984
1.42	-0.314
1.43	0.312
1.44	-0.239
1.45	-0.094
1.46	-0.426
1.47	-0.048
1.48	-0.863
1.49	-0.081
1.5	-0.226
1.51	-0.457
1.52	-0.342
1.53	0.093
1.54	-0.406
1.55	-0.141
1.56	-0.839
1.57	-0.060
1.58	0.136
1.59	-0.629
1.6	-0.770
1.61	-0.759
1.62	-0.243
1.63	-0.706
1.64	-0.502
1.65	-0.922
1.66	-0.156
1.67	-0.728
1.68	-0.216
1.69	-0.257
1.7	-0.555
1.71	-0.412
1.72	-0.614
1.73	-0.634
1.74	-0.159
1.75	-0.514
1.76	-0.879
1.77	-0.041
1.78	-0.872
1.79	-0.412
1.8	-0.817
1.81	-0.653
1.82	-0.433
